Journal Title,Publisher,Field of Research Code,Field of Research,Rating Group,Rating order,ISSN,ISSN Online,Website
Journal of Trust Research,Taylor & Francis Online,1503,Communication,B,3,2151-5581,2151-559X,
Journal of Vocational Education and Training,Taylor & Francis Online,1503,Communication,B,3,1363-6820,1747-5090,
Just Labor,York University,1503,Communication,B,3,1705-1436,1705-1436,http://www.justlabour.yorku.ca/
Labor Studies Journal,Sage Publications,1503,Communication,B,3,0160-449X,1538-9758,http://lsj.sagepub.com/
Labor: Studies in working class history,Duke University Press,1503,Communication,B,3,1547-6715,1558-1454,
Labour & Industry,Taylor & Francis Online,1503,Communication,B,3,1030-1763,2325-5676,
Labour History Review,Liverpool University Press,1503,Communication,B,3,0961-5652,1745-8188,http://online.liverpooluniversitypress.co.uk/loi/lhr
Labour: Review of labour economics and industrial relations,Wiley-Blackwell Publishing,1503,Communication,B,3,1121-7081,1467-9914,
Language & Communication,Elsevier,1503,Communication,B,3,0271-5309,1873-3395,
Leadership,Sage Publications,1503,Communication,B,3,1742-7150,1742-7169,http://lea.sagepub.com/
Leadership & Organization Development Journal,Emerald Group Publishing,1503,Communication,B,3,0143-7739,1472-5347,
Management   ,International Strategic Management Association,1503,Communication,B,3,1286-4692,,
Management Communication Quarterly,Sage Publications,1503,Communication,B,3,0893-3189,1552-6798,http://www.sagepub.com/
Management Decision,Emerald Group Publishing,1503,Communication,B,3,0025-1747,1758-6070,http://www.emeraldinsight.com/loi/md
Measuring Business Excellence,Emerald Group Publishing,1503,Communication,B,3,1368-3047,1758-8057,http://www.emeraldinsight.com/loi/mbe
Media Culture and Society,Sage Publications,1503,Communication,B,3,0163-4437,1460-3675,http://mcs.sagepub.com/
Multinational Business Review,Emerald Group Publishing,1503,Communication,B,3,1525-383X,2054-1686,
Narrative Inquiry,John Benjamins Publishing Company,1503,Communication,B,3,1387-6740,1569-9935,https://www.benjamins.com/#catalog/journals/ni/main
Naval Research Logistics,Wiley-Blackwell Publishing,1503,Communication,B,3,0894-069X,1520-6750,
Negotiation Journal,Wiley-Blackwell Publishing,1503,Communication,B,3,0748-4526,1571-9979,
New Directions for Evaluation,Wiley-Blackwell Publishing,1503,Communication,B,3,1097-6736,1534-875X,
New Zealand Journal of Employment Relations,ER Publishing Ltd.,1503,Communication,B,3,1176-4716,1179-2965,http://www.nzjournal.org/
Nonprofit Management and Leadership,Wiley-Blackwell Publishing,1503,Communication,B,3,1048-6682,1542-7854,
Optimal Control Applications and Methods,Wiley-Blackwell Publishing,1503,Communication,B,3,0143-2087,1099-1514,
Optimization,Taylor & Francis Online,1503,Communication,B,3,0233-1934,1029-4945,http://www.tandfonline.com/gopt
OR Spectrum,Springer International Publishing,1503,Communication,B,3,0171-6468,1436-6304,http://www.springerlink.com/
Pacific Affairs: an international review of Asia and the Pacific,University of British Columbia,1503,Communication,B,3,0030-851X,1715-3379,https://www.jstor.org/journal/pacificaffairs
Philosophy of the Social Sciences,Sage Publications,1503,Communication,B,3,0048-3931,1552-7441,http://pos.sagepub.com/
Population,Institut national d'Etudes demographiques,1503,Communication,B,3,1634-2941,,
Production and Inventory Management Journal,"American Production & Inventory Control Society, Inc.",1503,Communication,B,3,0897-8336,0897-8336,
Project Management Journal,Wiley-Blackwell Publishing,1503,Communication,B,3,8756-9728,1938-9507,
Prometheus: Critical Studies in Innovation,Taylor & Francis Online,1503,Communication,B,3,0810-9028,1470-1030,
Public Money & Management,Taylor & Francis Online,1503,Communication,B,3,0954-0962,1467-9302,
Public Performance & Management Review,Taylor & Francis Online,1503,Communication,B,3,1530-9576,1557-9271,
Public Personnel Management,Sage Publications,1503,Communication,B,3,0091-0260,1945-7421,
Qualitative Research in Organizations and Management,Emerald Group Publishing,1503,Communication,B,3,1746-5648,1746-5656,
Quality & Quantity,Springer International Publishing,1503,Communication,B,3,0033-5177,1573-7845,
Quality Management Journal,Taylor & Francis Online,1503,Communication,B,3,1068-6967,2575-6222,
Relations Industrielles/Industrial Relations,Department of Industrial Relations at Laval University,1503,Communication,B,3,0034-379X,1703-8138,
Review of Public Personnel Administration,Sage Publications,1503,Communication,B,3,0734-371X,1552-759X,
Rutgers Business Review,Rutgers Business School,1503,Communication,B,3,2474-2376,2474-6509,
Scandinavian Journal of Management,Elsevier,1503,Communication,B,3,0956-5221,1873-3387,http://www.journals.elsevier.com/scandinavian-journal-of-management
Security Studies,Taylor & Francis Online,1503,Communication,B,3,0963-6412,1556-1852,http://www.tandfonline.com/fsst
Service Science,INFORMS,1503,Communication,B,3,2164-3970,,
Social Justice Research,Springer International Publishing,1503,Communication,B,3,0885-7466,1573-6725,
Social Psychological and Personality Science,Sage Publications,1503,Communication,B,3,1948-5506,1948-5514,http://spp.sagepub.com/
Social Responsibility Journal,Emerald Group Publishing,1503,Communication,B,3,1747-1117,1758-857X,
Social Science Quarterly,Wiley-Blackwell Publishing,1503,Communication,B,3,0038-4941,1540-6237,
Social Service Review,The University of Chicago Press,1503,Communication,B,3,0037-7961,1537-5404,http://www.journals.uchicago.edu/toc/ssr/current
Society and Business Review,Emerald Group Publishing,1503,Communication,B,3,1746-5680,1746-5699,http://www.emeraldinsight.com/loi/sbr
Sociologie du Travail,Elsevier,1503,Communication,B,3,0038-0296,1777-5701,http://www.journals.elsevier.com/sociologie-du-travail/
Stanford Social Innovation Review,"Center for Social Innovation, Stanford Graduate School of Business",1503,Communication,B,3,1542-7009,,
Survival,Taylor & Francis Online,1503,Communication,B,3,0039-6338,1468-2699,http://www.tandfonline.com/tsur
Systemic Practice and Action Research,Springer International Publishing,1503,Communication,B,3,1094-429X,1573-9295,http://springerlink.metapress.com/
Technology Analysis and Strategic Management,Taylor & Francis Online,1503,Communication,B,3,0953-7325,1465-3990,http://www.tandfonline.com/ctas
The American Sociologist,Springer International Publishing,1503,Communication,B,3,0003-1232,1936-4784,http://www.springerlink.com/
The Journal of Applied Behavioral Science,Sage Publications,1503,Communication,B,3,0021-8863,1552-6879,http://www.sagepub.com/
The Milbank Quarterly,Wiley-Blackwell Publishing,1503,Communication,B,3,0887-378X,1468-0009,
The TQM Journal,Emerald Group Publishing,1503,Communication,B,3,1754-2731,1754-274X,http://www.emeraldinsight.com/journal/tqm
Thunderbird International Business Review,Wiley-Blackwell Publishing,1503,Communication,B,3,1096-4762,1520-6874,
Time and Society,Sage Publications,1503,Communication,B,3,0961-463X,1461-7463,http://tas.sagepub.com/
Urban Affairs Review,Sage Publications,1503,Communication,B,3,1078-0874,1552-8332,http://uar.sagepub.com/
Voluntas: International Journal of Voluntary and Non-Profit Organizations,Springer International Publishing,1503,Communication,B,3,0957-8765,1573-7888,http://www.springerlink.com/
World Bank Research Observer,Oxford University Press,1503,Communication,B,3,0257-3032,1564-6971,http://wbro.oxfordjournals.org/
"Written Communication: an international quarterly of research, theory, and application",Sage Publications,1503,Communication,B,3,0741-0883,1552-8472,http://wcx.sagepub.com/
Algorithmic Finance,IOS Press,1502,Finance,B,3,2158-5571,2157-6203,
Annals of Finance,Springer International Publishing,1502,Finance,B,3,1614-2446,1614-2454,
Applied Finance Letters,Auckland University of Technology,1502,Finance,B,3,2253-5799,2253-5802,
Applied Financial Economics,Taylor & Francis Online,1502,Finance,B,3,0960-3107,1466-4305,
Applied Mathematical Finance,Taylor & Francis Online,1502,Finance,B,3,1350-486X,1466-4313,
Asia Pacific Journal of Finance,Wiley-Blackwell Publishing,1502,Finance,B,3,0219-1466,,
Asia-Pacific Journal of Financial Studies,Wiley-Blackwell Publishing,1502,Finance,B,3,2041-9945,2041-6156,
Asia-Pacific Journal of Risk and Insurance,De Gruyter,1502,Finance,B,3,2194-606X,2153-3792,
British Actuarial Journal,Cambridge University Press,1502,Finance,B,3,1357-3217,2044-0456,
Emerging Markets Finance and Trade,Taylor & Francis Online,1502,Finance,B,3,1540-496X,1558-0938,
European Actuarial Journal,Springer International Publishing,1502,Finance,B,3,2190-9733,2190-9741,
Financial History Review,Cambridge University Press,1502,Finance,B,3,0968-5650,1474-0052,
Financial Markets and Portfolio Management,Springer International Publishing,1502,Finance,B,3,1934-4554,2373-8529,
"Financial Markets, Institutions and Instruments",Wiley-Blackwell Publishing,1502,Finance,B,3,0963-8008,1468-0416,
Financial Services Review,Academy of Financial Services - Elsevier,1502,Finance,B,3,1057-0810,1873-5673,
Foundations and Trends in Finance,Now Publishers,1502,Finance,B,3,1567-2395,1567-2409,
International Finance,Wiley-Blackwell Publishing,1502,Finance,B,3,1367-0271,1468-2362,
International Journal of Finance & Economics,Wiley-Blackwell Publishing,1502,Finance,B,3,1076-9307,1099-1158,
International Journal of Financial Studies,MDPI,1502,Finance,B,3,2227-7072,2227-7072,
International Journal of Islamic and Middle Eastern Finance and Management,Emerald Group Publishing Limited,1502,Finance,B,3,1753-8394,1753-8408,
International Journal of Portfolio Analysis and Management,Inderscience Enterprises Ltd.,1502,Finance,B,3,2048-2361,2048-237X,
International Journal of Theoretical and Applied Finance,World Scientific Publishing,1502,Finance,B,3,0219-0249,1793-6322,http://www.worldscinet.com/ijtaf/
Investment Analysts Journal,Taylor & Francis Online,1502,Finance,B,3,1029-3523,2077-0227,
Investment Management and Financial Innovations,Business Perspectives,1502,Finance,B,3,1810-4967,1812-9358,
JASSA: The Finsia Journal of Applied Finance,Financial Services Institute of Australasia,1502,Finance,B,3,0313-5934,,http://www.finsia.com/insights/jassa-home
Journal of Emerging Market Finance,Sage Publications,1502,Finance,B,3,0972-6527,0973-0710,
Journal of Financial Education,DePaul University College of Commerce,1502,Finance,B,3,0093-3961,,http://jfedweb.org/jfedpage.html
Journal of Insurance Issues,Western & Southern Risk and Insurance Association,1502,Finance,B,3,1531-6076,2332-4244,
Journal of International Financial Management and Accounting,Wiley-Blackwell Publishing,1502,Finance,B,3,0954-1314,1467-646X,
Journal of Investing,Pageant Media,1502,Finance,B,3,1068-0896,2168-8613,
Journal of Multinational Financial Management,Elsevier,1502,Finance,B,3,1042-444X,1873-1309,http://www.journals.elsevier.com/journal-of-multinational-financial-management
Journal of Retirement,Pageant Media,1502,Finance,B,3,2326-6899,2326-6902,
Journal of Risk,Incisive Risk Information Limited,1502,Finance,B,3,1465-1211,1755-2842,http://www.thejournalofrisk.com/
Journal of Risk and Financial Management,MDPI,1502,Finance,B,3,1911-8066,1911-8074,
Managerial Finance,Emerald Group Publishing,1502,Finance,B,3,0307-4358,1758-7743,
Market Microstructure and Liquidity,World Scientific,1502,Finance,B,3,2382-6266,2424-8037,
Multinational Finance Journal,Multinational Finance Society,1502,Finance,B,3,1096-1879,1096-2190,
Public Finance Analysis / FinanzArchiv,Mohr Siebeck Verlag,1502,Finance,B,3,0015-2218,1614-0974,
Public Finance and Management,Southern Public Administration Education Foundation Inc.,1502,Finance,B,3,1523-9721,,
Qualitative Research in Financial Markets,Emerald Group Publishing Limited,1502,Finance,B,3,1755-4179,1755-4187,
Research in International Business and Finance,Elsevier,1502,Finance,B,3,0275-5319,1878-3384,
Review of Behavioral Finance,Emerald Group Publishing Limited,1502,Finance,B,3,1940-5979,1940-5987,
Review of Derivatives Research,Springer International Publishing,1502,Finance,B,3,1380-6645,1573-7144,http://springerlink.metapress.com/
Review of Financial Economics,Wiley-Blackwell Publishing,1502,Finance,B,3,1058-3300,1873-5924,
Review of Futures Markets,"Kent State University, Ohio",1502,Finance,B,3,1933-7116,,
Review of Pacific Basin Financial Markets and Policies,World Scientific Publishing,1502,Finance,B,3,0219-0915,1793-6705,http://www.worldscinet.com/rpbfmp/
Review of Quantitative Finance and Accounting,Springer International Publishing,1502,Finance,B,3,0924-865X,1573-7179,http://www.springer.com/
Risks,MDPI ,1502,Finance,B,3,2227-9091,,
SIAM Journal on Financial Mathematics,Society for Industrial and Applied Mathematics,1502,Finance,B,3,,1945-497X,http://www.siam.org/
South African Statistical Journal,South African Statiscal Association,1502,Finance,B,3,0038-271X,,
The Geneva Papers on Risk and Insurance - Issues and Practice,Springer International Publishing,1502,Finance,B,3,1018-5895,1468-0440,http://www.springer.com/business+%26+management/finance/journal/41288/PSE
The Geneva Risk and Insurance Review,Springer International Publishing,1502,Finance,B,3,1554-964X,1554-9658,http://www.springer.com/business+%26+management/finance/journal/10713
The Journal of Alternative Investments,Pageant Media,1502,Finance,B,3,1520-3255,1520-3255,
The Journal of Asset Management,Springer International Publishing,1502,Finance,B,3,1470-8272,1479-179X,http://www.springer.com/business+%26+management/finance/journal/41260
The Journal of Risk Finance,Emerald Group Publishing,1502,Finance,B,3,1526-5943,,
The Journal of Wealth Management,Pageant Media,1502,Finance,B,3,1534-7524,,
Venture Capital,Taylor & Francis Online,1502,Finance,B,3,1369-1066,1464-5343,
Accountancy Business and the Public Interest,Association for Accountancy & Business Affairs,1501,Accounting,B,3,1745-7718,,
Accounting and the Public Interest,American Accounting Association,1501,Accounting,B,3,1530-9320,,
Accounting Educators Journal,Academy of Accounting Educators Inc.,1501,Accounting,B,3,1041-0392,,
Accounting Forum,Taylor & Francis Online,1501,Accounting,B,3,0155-9982,1467-6303,
Accounting Historians Journal,American Accounting Association,1501,Accounting,B,3,0148-4184,,
Accounting History Review,Taylor & Francis Online,1501,Accounting,B,3,2155-2851,2155-286X,
Accounting Perspectives,Wiley-Blackwell Publishing,1501,Accounting,B,3,1911-382X,1911-3838,
Accounting Research Journal,Emerald Group Publishing,1501,Accounting,B,3,1030-9616,,
"Accounting, Economics and Law: A Convivium",De Gruyter ,1501,Accounting,B,3,2194-6051,2152-2820,
Advances in Environmental Accounting and Management,Emerald Group Publishing,1501,Accounting,B,3,1479-3598,,
Asia-Pacific Journal of Accounting and Economics,Taylor & Francis Online,1501,Accounting,B,3,1608-1625,2164-2257,
Asian Review of Accounting,Emerald Group Publishing,1501,Accounting,B,3,1321-7348,1758-8863,
Australasian Accounting Business and Finance Journal,University of Canberra,1501,Accounting,B,3,1834-2000,1834-2019,
Australian Accounting Review,Wiley-Blackwell Publishing,1501,Accounting,B,3,1035-6908,1835-2561,
China Journal of Accounting Research,Elsevier,1501,Accounting,B,3,1755-3091,2214-1421,
China Journal of Accounting Studies,Taylor & Francis Online,1501,Accounting,B,3,2169-7213 ,2169-7221,
Comptabilité Contrôle Audit,Association Francophone de Comptabilité FRANCE,1501,Accounting,B,3,1262-2788,2313-514X,
Corporate Ownership and Control ,Virtus Interpress,1501,Accounting,B,3,1727-9232,1810-3057,
Current Issues in Auditing,American Accounting Association,1501,Accounting,B,3,,1936-1270,
"Intelligent Systems in Accounting, Finance and Management: An International Journal",Wiley-Blackwell Publishing,1501,Accounting,B,3,1055-615X,1099-1174,
International Journal of Accounting and Information Management,Emerald Group Publishing Ltd,1501,Accounting,B,3,1834-7649,1758-9037,
International Journal of Disclosure and Governance,Palgrave Macmillan,1501,Accounting,B,3,1741-3591,1746-6539,
International Journal of Managerial and Financial Accounting,Inderscience Enterprises Ltd.,1501,Accounting,B,3,1753-6715,1753-6723,
Journal of Accounting & Organizational Change,Emerald Group Publishing,1501,Accounting,B,3,1832-5912,1839-5473,
Journal of Accounting Education,Elsevier,1501,Accounting,B,3,0748-5751,1873-1996,
Journal of Accounting in Emerging Economies,Emerald Group Publishing,1501,Accounting,B,3,2042-1168,2042-1176,
Journal of Applied Accounting Research,Emerald Group Publishing,1501,Accounting,B,3,0967-5426,1758-8855,
Journal of Corporate Accounting and Finance,Wiley-Blackwell Publishing,1501,Accounting,B,3,1044-8136,1097-0053,
Journal of Emerging Technologies in Accounting,American Accounting Association,1501,Accounting,B,3,1554-1908,1558-7940,
Journal of Forensic & Investigative Accounting,Louisiana State University,1501,Accounting,B,3,,2165-3755,
Journal of Forensic Accounting Research,American Accounting Association,1501,Accounting,B,3,,2380-2138,
Journal of Governmental & Nonprofit Accounting,American Accounting Association,1501,Accounting,B,3,,2155-3815,http://aaajournals.org/loi/ogna
Journal of Intellectual Capital,Emerald Group Publishing,1501,Accounting,B,3,1469-1930,1758-7468,http://www.emeraldinsight.com/journal/jic
"Journal of International Accounting, Auditing and Taxation",Elsevier,1501,Accounting,B,3,1061-9518,1879-1603,http://www.journals.elsevier.com/journal-of-international-accounting-auditing-and-taxation
"Journal of Public Budgeting, Accounting and Financial Management",Emerald Group Publishing,1501,Accounting,B,3,1096-3367,1945-1814,
Pacific Accounting Review,Emerald Group Publishing,1501,Accounting,B,3,0114-0582,2041-5494,
Quarterly Journal of Finance and Accounting,Creighton University,1501,Accounting,B,3,0747-5535,,
Research in Accounting Regulation,Elsevier,1501,Accounting,B,3,1052-0457,,http://www.journals.elsevier.com/research-in-accounting-regulation
Research in Governmental and Non-Profit Accounting,Elsevier,1501,Accounting,B,3,0884-0741,,http://www.emeraldgrouppublishing.com/products/books/recommend.htm?id=0884-0741&PHPSESSID=383gh9119558a8sc2dnhp1he25
Research on Professional Responsibility and Ethics in Accounting,Emerald Group Publishing,1501,Accounting,B,3,1574-0765,,
Review of Accounting and Finance,Emerald Group Publishing,1501,Accounting,B,3,1475-7702,1758-7700,
Social and Environmental Accountability Journal,Taylor & Francis Online,1501,Accounting,B,3,0969-160X,2156-2245,
Spanish Accounting Review / Revista de Contabilidad,Elsevier,1501,Accounting,B,3,1138-4891,1988-4672,
Spanish Journal of Finance and Accounting,Taylor & Francis Online,1501,Accounting,B,3,0210-2412,2332-0753,
"Sustainability Accounting, Management and Policy Journal",,1501,Accounting,B,3,2040-8021,,http://www.emeraldinsight.com/sampj
The International Journal of Digital Accounting Research,Rutgers University,1501,Accounting,B,3,1577-8517,,
The Journal of Theoretical Accounting Research,"Iona College, Hagan School of Business",1501,Accounting,B,3,1556-5106,,
Asia Pacific Sustainable Development Journal,United Nations ESCAP,1499,Economics,B,3,1020-1246,,
Capital and Class,Sage Publications,1499,Economics,B,3,0309-8168,2041-0980,
Climate and Development,Taylor & Francis Online,1499,Economics,B,3,1756-5529,1756-5537,
Climate Change Economics,World Scientific Publishing,1499,Economics,B,3,2010-0078,,
Comparative Economic Studies,Springer International Publishing,1499,Economics,B,3,0888-7233,1478-3320,
Computational Economics,Springer International Publishing,1499,Economics,B,3,0927-7099,1572-9974,
Economic Systems,Elsevier Science,1499,Economics,B,3,0939-3625,1878-5433,
Economic Systems Research,Taylor & Francis Online,1499,Economics,B,3,0953-5314,1469-5758,
Eurasian Geography and Economics,Taylor & Francis Online,1499,Economics,B,3,1538-7216,1938-2863,
European Journal of Comparative Economics,European Association for Comparative Economics Systems / LIUC University Press,1499,Economics,B,3,1824-2979,,
Faith and Economics,American Theological Libraries Association,1499,Economics,B,3,0896-307X,,http://www.gordon.edu/ace/ACEFandE.html
Forum of International Development Studies,Nagoya University,1499,Economics,B,3,1341-3732,,http://ci.nii.ac.jp/
History of Economic Ideas,Fabrizio Serra Editore,1499,Economics,B,3,1122-8792,1724-2169,
International Journal of Social Economics,Emerald Group Publishing,1499,Economics,B,3,0306-8293,1758-6712,http://www.emeraldinsight.com/journal/ijse
International Journal of the Economics of Business,Taylor & Francis Online,1499,Economics,B,3,1357-1516,1466-1829,http://www.tandfonline.com/cijb
International Labor and Working-Class History,Cambridge University Press,1499,Economics,B,3,0147-5479,1471-6445,http://journals.cambridge.org/
International Regional Science Review,Sage Publications,1499,Economics,B,3,0160-0176,1552-6925,http://irx.sagepub.com/
Journal of Australian Political Economy,Australian Political Economy Movement,1499,Economics,B,3,0156-5826,,https://search.informit.com.au/browseJournalTitle;res=IELAPA;issn=0156-5826
Journal of Economic Methodology,Taylor & Francis Online,1499,Economics,B,3,1350-178X,1469-9427,
Journal of Family and Economic Issues,Springer International Publishing,1499,Economics,B,3,1058-0476,1573-3475,http://www.springerlink.com/
Journal of Financial Economic Policy,Emerald Group Publishing,1499,Economics,B,3,1757-6385,1757-6393,
Journal of Globalization and Development,De Gruyter ,1499,Economics,B,3,1948-1837,,http://www.degruyter.com/view/j/jgd
Journal of Post Keynesian Economics,Taylor & Francis Online,1499,Economics,B,3,0160-3477,1557-7821,
Journal of Sports Economics,Sage Publications,1499,Economics,B,3,1527-0025,1552-7794,http://jse.sagepub.com/
"Politics, Philosophy & Economics",Sage Publications,1499,Economics,B,3,1470-594X,1741-3060,
The Adam Smith Review,The International Adam Smith Society,1499,Economics,B,3,1743-5285,,http://www.adamsmithreview.org/
Econometrics,MDPI,1403,Econometrics,B,3,2225-1146,,
Econometrics and Statistics,Elsevier,1403,Econometrics,B,3,2452-3062,,
Journal for Studies in Economics & Econometrics,"University of Stellenbosch, Bureau for Economic Research",1403,Econometrics,B,3,0379-6205,,
Journal of Econometric Methods,De Gruyter ,1403,Econometrics,B,3,,2156-6674,
Journal of Economics and Statistics,De Gruyter ,1403,Econometrics,B,3,0021-4027,2366-049X,
Journal of Quantitative Economics,Springer International Publishing,1403,Econometrics,B,3,0971-1554,2364-1045,
Journal of Time Series Econometrics,De Gruyter ,1403,Econometrics,B,3,1941-1928,,
African Journal of Agricultural and Resource Economics,African Association of Agricultural Economists,1402,Economic Policy,B,3,1993-3738,2521-9871,
Agenda: a journal of policy analysis and reform,Australian National University,1402,Economic Policy,B,3,1322-1833,1447-4735,
Agricultural and Resource Economics Review,Cambridge University Press,1402,Economic Policy,B,3,1068-2805,2372-2614,
Agriculture and Human Values,Springer International Publishing,1402,Economic Policy,B,3,0889-048X,1572-8366,
American Journal of Economics and Sociology,Wiley-Blackwell Publishing,1402,Economic Policy,B,3,0002-9246,1536-7150,
American Law and Economics Review,Oxford University Press,1402,Economic Policy,B,3,1465-7252,1465-7260,
Annals of Public and Cooperative Economics,"John Wiley & Sons, Inc.",1402,Economic Policy,B,3,1370-4788,1467-8292,
Annual Review of Economics,Annual Reviews,1402,Economic Policy,B,3,1941-1383,1941-1391,
Annual Review of Financial Economics,Annual Reviews,1402,Economic Policy,B,3,1941-1367,1941-1375,
Annual Review of Resource Economics,Annual Reviews,1402,Economic Policy,B,3,1941-1340,1941-1359,
Applied Economic Perspectives and Policy,Oxford University Press,1402,Economic Policy,B,3,2040-5804,2040-5970,
Applied Economics Letters,Taylor & Francis Online,1402,Economic Policy,B,3,1350-4851,1466-4291,
Applied Economics Quarterly,Duncker & Humblot Gmbh,1402,Economic Policy,B,3,1611-6607,1865-5122,
Asia Pacific Journal of Economics and Business,Taylor & Francis Online,1402,Economic Policy,B,3,1326-8481,,
Asian Economic Journal,Wiley-Blackwell Publishing,1402,Economic Policy,B,3,1351-3958,1467-8381,
Asian Economic Papers,MIT Press,1402,Economic Policy,B,3,1535-3516,1536-0083,
Australian Economic History Review,Wiley-Blackwell Publishing,1402,Economic Policy,B,3,0004-8992,1467-8446,
Australian Economic Papers,Wiley-Blackwell Publishing,1402,Economic Policy,B,3,0004-900X,1467-8454,
Australian Journal of Labour Economics,Centre for Labour Market Research,1402,Economic Policy,B,3,1328-1143,,
Bulletin of Economic Research,Wiley-Blackwell Publishing,1402,Economic Policy,B,3,0307-3378,1467-8586,
Bulletin of Indonesian Economic Studies,Taylor & Francis Online,1402,Economic Policy,B,3,0007-4918,1472-7234,
Business Economics,Springer International Publishing,1402,Economic Policy,B,3,0007-666X,1554-432X,
"Cambridge Journal of Regions, Economy and Society",Oxford University Press,1402,Economic Policy,B,3,1752-1378,1752-1386,
Canadian Journal of Development Studies / Revue canadienne d'etudes du developpement,Taylor & Francis Online,1402,Economic Policy,B,3,0225-5189,2158-9100,
China and World Economy,Wiley-Blackwell Publishing,1402,Economic Policy,B,3,1671-2234,1749-124X,
Cogent Economics and Finance,Taylor & Francis,1402,Economic Policy,B,3,2332-2039,,
Competition and Regulation in Network Industries,Sage Publications,1402,Economic Policy,B,3,1783-5917,,
Constitutional Political Economy,Springer International Publishing,1402,Economic Policy,B,3,1043-4062,1572-9966,
Contemporary Economic Policy,Wiley-Blackwell Publishing,1402,Economic Policy,B,3,1074-3529,1465-7287,
Contributions to Political Economy,Oxford University Press,1402,Economic Policy,B,3,0277-5921,1464-3588,
Decisions in Economics and Finance,Springer International Publishing,1402,Economic Policy,B,3,1593-8883,1129-6569,
Defence and Peace Economics,Taylor & Francis Online,1402,Economic Policy,B,3,1024-2694,1476-8267,
Developing Economies,Wiley-Blackwell Publishing,1402,Economic Policy,B,3,0012-1533,1746-1049,
Development and Change,Wiley-Blackwell Publishing,1402,Economic Policy,B,3,0012-155X,1467-7660,
Development Policy Review,Wiley-Blackwell Publishing,1402,Economic Policy,B,3,0950-6764,1467-7679,
Eastern Economic Journal,Springer International Publishing,1402,Economic Policy,B,3,0094-5056,1939-4632,
Eastern European Economics,Taylor & Francis Online,1402,Economic Policy,B,3,0012-8775,1557-9298,
Econ Journal Watch,Fraser Institute,1402,Economic Policy,B,3,1933-527X,,
"Economia, the Journal of Latin American and Caribbean Economic Association (LACEA)",Brookings Press,1402,Economic Policy,B,3,1529-7470,1533-6239,
Economic Analysis and Policy,Elsevier,1402,Economic Policy,B,3,0313-5926,2204-2296,
Economic and Political Weekly,Sameeksha Trust,1402,Economic Policy,B,3,0012-9976,2349-8846,
Economic and Social Review,Economic and Social Studies Ltd,1402,Economic Policy,B,3,0012-9984,,
Economic Change and Restructuring,Springer International Publishing,1402,Economic Policy,B,3,1573-9414,1574-0277,
Economic Development Quarterly,Sage Publications,1402,Economic Policy,B,3,0891-2424,1552-3543,
Economic Issues,Nottingham Trent University,1402,Economic Policy,B,3,1363-7029,,
Economic Notes,Wiley-Blackwell Publishing,1402,Economic Policy,B,3,0391-5026,1468-0300,
Economic Papers: A journal of applied economics and policy,Wiley-Blackwell Publishing,1402,Economic Policy,B,3,,1759-3441,
Economic Quarter / Trimestre Economico,Fondo de Cultura Economica (Economic Culture Fund),1402,Economic Policy,B,3,0041-3011,2448-718X,
Economic Review / Revue Economique,Presses de Sciences Po,1402,Economic Policy,B,3,0035-2764,1950-6694,
Economics of Energy & Environmental Policy,The International Association for Energy Economics,1402,Economic Policy,B,3,2160-5882,2160-5890,
Economics of Governance,Springer International Publishing,1402,Economic Policy,B,3,1435-6104,1435-8131,
Economics of Innovation and New Technology,Taylor & Francis Online,1402,Economic Policy,B,3,1043-8599,1476-8364,
"Economics: The Open Access, Open Assessment E-journal",Universitaet Kiel,1402,Economic Policy,B,3,1864-6042,,
Economists' Voice,De Gruyter ,1402,Economic Policy,B,3,2194-6167,1553-3832,
Education Economics,Taylor & Francis Online,1402,Economic Policy,B,3,0964-5292,1469-5782,
Engineering Economics,Kaunas University of Technology,1402,Economic Policy,B,3,1392-2785,2029-5839,
Environment and Development Economics,Cambridge University Press,1402,Economic Policy,B,3,1355-770X,1469-4395,
Environmental Economics and Policy Studies,Springer International Publishing,1402,Economic Policy,B,3,1432-847X,1867-383X,
Essays in Economic & Business History,The Economic and Business History Society,1402,Economic Policy,B,3,0896-226X,2376-9459,
European Journal of Development Research,Springer International Publishing,1402,Economic Policy,B,3,0957-8811,1743-9728,http://www.springer.com/social+sciences/journal/41287/PSE
Finnish Economic Papers,Finnish Economic Association,1402,Economic Policy,B,3,0784-5197,1798-7423,
Fiscal Studies,Wiley-Blackwell Publishing,1402,Economic Policy,B,3,0143-5671,1475-5890,
Food Policy,Elsevier,1402,Economic Policy,B,3,0306-9192,1873-5657,http://www.journals.elsevier.com/food-policy
Forest Policy and Economics,Elsevier,1402,Economic Policy,B,3,1389-9341,1872-7050,
German Economic Review,Wiley-Blackwell Publishing,1402,Economic Policy,B,3,1465-6485,1468-0475,
Global Economy Journal,Global Economy Journal,1402,Economic Policy,B,3,2194-5659,1553-5304,
Growth and Change,Wiley-Blackwell Publishing,1402,Economic Policy,B,3,0017-4815,1468-2257,
"Health Economics, Policy and Law",Cambridge University Press,1402,Economic Policy,B,3,1744-1331,1744-134X,http://journals.cambridge.org/
Hitotsubashi Journal of Economics,Sanseido Publishing Company Ltd,1402,Economic Policy,B,3,0018-280X,,
Indian Economic Journal,Sage Publications,1402,Economic Policy,B,3,0019-4662,,
